ID_Pesanan,Tanggal_Pemesanan,ID_Produk,Nama_Produk,Kategori,Bahan_Material,Warna_Finishing,Merek_Siri,Berat_Gram,Dimensi_Cm,Stok,Harga_Rupiah,Quantity
ORD-50022,2021-01-30,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Saten,Atmobrass Jaya,171.9,10.3,130,47000,9
ORD-50023,2021-02-03,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Matte,Atmobrass Jaya,381.1,11.8,99,97000,5
ORD-50024,2021-02-03,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,178.5,9.2,137,90000,7
ORD-50024,2021-02-03,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Coklat Gelap,Atmobrass Jaya,250.7,12.6,89,47000,8
ORD-50025,2021-02-04,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,198.4,12.1,115,57000,4
ORD-50025,2021-02-04,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Modern Hardware,121.1,12.7,188,90000,1
ORD-50027,2021-02-05,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Matte,Atmobrass Jaya,70.2,8.6,81,28000,2
ORD-50027,2021-02-05,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Hitam Matte,Atmobrass Jaya,185.4,14.7,128,47000,6
ORD-50028,2021-02-06,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Modern Hardware,187.7,9.9,142,36000,6
ORD-50028,2021-02-06,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Heritage Series,239.7,13.4,64,57000,10
ORD-50031,2021-02-11,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Saten,Atmobrass Jaya,330.2,9.0,182,97000,10
ORD-50032,2021-02-12,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Saten,Atmobrass Jaya,308.6,12.2,111,97000,10
ORD-50033,2021-02-13,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Atmobrass Jaya,112.4,5.0,162,19000,8
ORD-50034,2021-02-15,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,84.1,13.2,140,47000,8
ORD-50034,2021-02-15,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Coklat Gelap,Maison Le Forge,269.2,8.2,88,97000,9
ORD-50034,2021-02-15,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,39.6,4.0,43,48000,5
ORD-50035,2021-02-18,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,109.4,4.1,152,28000,5
ORD-50037,2021-02-19,HW-003,Engsel Jahit,Engsel,Besi,Emas Matte,Atmobrass Jaya,88.5,9.0,96,32000,9
ORD-50039,2021-02-21,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,260.8,12.8,133,210000,7
ORD-50040,2021-02-23,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Matte,Atmobrass Jaya,351.8,12.5,84,97000,8
ORD-50041,2021-02-23,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Matte,Atmobrass Jaya,53.6,6.9,49,25000,8
ORD-50041,2021-02-23,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Berkilat (Chrome),Maison Le Forge,98.1,9.4,91,25000,3
ORD-50042,2021-02-24,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Heritage Series,168.0,13.9,117,90000,1
ORD-50043,2021-02-26,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Hitam Matte,Atmobrass Jaya,110.5,9.6,38,47000,8
ORD-50045,2021-02-27,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,291.9,11.9,113,210000,10
ORD-50047,2021-03-01,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Heritage Series,181.4,12.2,26,210000,9
ORD-50048,2021-03-02,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,277.9,9.0,114,90000,2
ORD-50048,2021-03-02,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,34.6,9.2,184,19000,8
ORD-50049,2021-03-02,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,132.2,9.4,116,90000,7
ORD-50050,2021-03-03,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,164.9,13.1,42,57000,8
ORD-50050,2021-03-03,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,225.9,9.1,196,90000,5
ORD-50051,2021-03-03,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Berkilat,Atmobrass Jaya,396.2,10.2,97,34000,6
ORD-50052,2021-03-03,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,181.7,9.9,145,57000,3
ORD-50053,2021-03-04,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,202.9,10.5,53,47000,3
ORD-50054,2021-03-04,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,153.2,9.8,85,210000,3
ORD-50055,2021-03-05,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Berkilat,Heritage Series,361.4,8.7,51,97000,5
ORD-50056,2021-03-05,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,46.1,7.1,78,48000,7
ORD-50057,2021-03-07,HW-003,Engsel Jahit,Engsel,Besi,Emas Berkilat,Atmobrass Jaya,159.0,12.5,174,32000,10
ORD-50057,2021-03-07,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Heritage Series,122.6,6.1,35,25000,10
ORD-50058,2021-03-08,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,153.6,12.6,155,210000,7
ORD-50059,2021-03-09,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,227.4,8.0,106,210000,1
ORD-50061,2021-03-13,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,194.3,10.2,32,90000,7
ORD-50064,2021-03-18,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Perak Saten,Atmobrass Jaya,289.8,7.0,168,47000,2
ORD-50064,2021-03-18,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Hitam Matte,Modern Hardware,79.4,7.2,133,19000,10
ORD-50065,2021-03-19,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Berkilat,Atmobrass Jaya,268.8,8.2,52,47000,4
ORD-50066,2021-03-19,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Maison Le Forge,117.9,11.3,196,36000,7
ORD-50066,2021-03-19,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,334.2,9.6,28,97000,10
ORD-50066,2021-03-19,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Heritage Series,176.9,11.1,33,210000,9
ORD-50067,2021-03-20,HW-003,Engsel Jahit,Engsel,Besi,Emas Berkilat,Atmobrass Jaya,180.6,8.5,23,32000,1
ORD-50069,2021-03-23,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Matte,Maison Le Forge,214.3,7.6,97,47000,9
ORD-50069,2021-03-23,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Hitam Matte,Atmobrass Jaya,375.8,11.3,61,34000,3
ORD-50070,2021-03-25,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,265.9,14.0,73,210000,6
ORD-50070,2021-03-25,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,242.7,8.4,120,210000,7
ORD-50072,2021-03-28,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Emas Berkilat,Atmobrass Jaya,44.4,6.2,21,19000,5
ORD-50073,2021-03-29,HW-003,Engsel Jahit,Engsel,Besi,Emas Berkilat,Atmobrass Jaya,184.5,10.0,200,32000,3
ORD-50074,2021-03-31,HW-003,Engsel Jahit,Engsel,Besi,Emas Berkilat,Atmobrass Jaya,89.3,7.8,78,32000,10
ORD-50076,2021-04-01,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,118.5,7.6,58,90000,9
ORD-50076,2021-04-01,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Heritage Series,189.8,14.7,161,36000,4
ORD-50078,2021-04-02,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Hitam Matte,Atmobrass Jaya,239.1,10.2,73,47000,10
ORD-50079,2021-04-02,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Maison Le Forge,185.8,10.0,71,210000,7
ORD-50080,2021-04-03,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Saten,Atmobrass Jaya,298.3,10.0,14,97000,3
ORD-50081,2021-04-06,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Hitam Matte,Atmobrass Jaya,195.5,10.1,162,47000,1
ORD-50082,2021-04-08,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,62.1,7.7,147,28000,8
ORD-50082,2021-04-08,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Matte,Atmobrass Jaya,423.8,8.3,102,34000,1
ORD-50083,2021-04-08,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Heritage Series,237.8,11.1,42,57000,1
ORD-50084,2021-04-11,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Matte,Heritage Series,152.7,14.5,122,47000,2
ORD-50084,2021-04-11,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,286.4,11.8,168,36000,2
ORD-50085,2021-04-11,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,266.5,7.4,113,57000,6
ORD-50086,2021-04-15,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Matte,Atmobrass Jaya,275.7,7.7,37,47000,1
ORD-50087,2021-04-17,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Maison Le Forge,153.0,13.8,21,36000,3
ORD-50087,2021-04-17,HW-003,Engsel Jahit,Engsel,Besi,Perak Saten,Atmobrass Jaya,213.8,12.8,110,32000,2
ORD-50089,2021-04-19,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Saten,Atmobrass Jaya,216.9,11.5,141,97000,6
ORD-50091,2021-04-22,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Coklat Gelap,Atmobrass Jaya,427.2,12.2,118,34000,8
ORD-50092,2021-04-23,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,148.1,9.1,116,19000,6
ORD-50092,2021-04-23,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,456.3,11.8,155,97000,8
ORD-50093,2021-04-25,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Perak Saten,Atmobrass Jaya,240.4,13.5,77,47000,5
ORD-50095,2021-04-28,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,231.3,11.4,16,210000,6
ORD-50096,2021-04-29,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Heritage Series,263.0,11.5,27,90000,6
ORD-50098,2021-05-03,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Emas Berkilat,Atmobrass Jaya,155.4,12.2,24,47000,10
ORD-50098,2021-05-03,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,254.0,11.1,169,47000,4
ORD-50099,2021-05-03,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Modern Hardware,173.6,12.5,89,90000,4
ORD-50099,2021-05-03,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,122.1,6.1,48,25000,3
ORD-50100,2021-05-05,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Berkilat,Atmobrass Jaya,125.0,7.3,175,47000,7
ORD-50100,2021-05-05,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Atmobrass Jaya,141.0,9.1,30,19000,4
ORD-50101,2021-05-06,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,248.5,11.8,94,36000,9
ORD-50102,2021-05-08,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Hitam Matte,Heritage Series,182.7,11.0,194,47000,2
ORD-50103,2021-05-10,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Coklat Gelap,Modern Hardware,209.7,11.3,20,47000,8
ORD-50103,2021-05-10,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,48.5,4.8,123,48000,1
ORD-50104,2021-05-14,HW-003,Engsel Jahit,Engsel,Besi,Emas Matte,Atmobrass Jaya,219.7,9.7,116,32000,9
ORD-50104,2021-05-14,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,66.6,4.9,92,28000,9
ORD-50106,2021-05-17,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,48.3,9.3,196,19000,3
ORD-50107,2021-05-19,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,71.5,7.5,145,19000,9
ORD-50107,2021-05-19,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Saten,Atmobrass Jaya,290.4,13.8,46,34000,7
ORD-50108,2021-05-19,HW-003,Engsel Jahit,Engsel,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,290.2,8.1,109,32000,4
ORD-50109,2021-05-21,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,89.6,4.3,92,25000,1
ORD-50109,2021-05-21,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,53.4,8.5,103,28000,1
ORD-50111,2021-05-22,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,138.6,10.0,75,90000,9
ORD-50111,2021-05-22,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Maison Le Forge,84.5,14.8,22,210000,9
ORD-50112,2021-05-23,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,39.0,9.5,143,28000,3
ORD-50112,2021-05-23,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Emas Matte,Heritage Series,278.1,8.6,138,47000,3
ORD-50113,2021-05-23,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Emas Matte,Atmobrass Jaya,93.2,4.2,166,19000,8
ORD-50114,2021-05-24,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Berkilat (Chrome),Atmobrass Jaya,326.0,13.3,39,34000,1
ORD-50115,2021-05-24,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Saten,Atmobrass Jaya,242.5,12.2,47,34000,8
ORD-50117,2021-05-26,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Berkilat,Atmobrass Jaya,489.2,13.4,193,34000,4
ORD-50117,2021-05-26,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,242.0,11.1,26,36000,6
ORD-50118,2021-05-26,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,28.7,5.6,11,19000,4
ORD-50119,2021-05-30,HW-003,Engsel Jahit,Engsel,Besi,Emas Berkilat,Atmobrass Jaya,257.7,9.4,158,32000,3
ORD-50119,2021-05-30,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Coklat Gelap,Atmobrass Jaya,246.1,14.7,120,47000,9
ORD-50121,2021-06-01,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Hitam Matte,Atmobrass Jaya,139.3,4.7,88,19000,2
ORD-50122,2021-06-01,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Coklat Gelap,Atmobrass Jaya,295.8,12.9,24,34000,3
ORD-50122,2021-06-01,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,212.6,14.5,107,47000,2
ORD-50124,2021-06-03,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,74.3,5.0,44,25000,1
ORD-50125,2021-06-05,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,43.3,9.6,130,25000,4
ORD-50125,2021-06-05,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Saten,Atmobrass Jaya,468.9,12.2,48,34000,5
ORD-50126,2021-06-05,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,212.8,7.5,155,47000,8
ORD-50127,2021-06-06,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,88.9,12.0,157,36000,7
ORD-50128,2021-06-10,HW-003,Engsel Jahit,Engsel,Besi,Emas Berkilat,Modern Hardware,94.5,14.9,176,32000,1
ORD-50128,2021-06-10,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,46.1,7.3,60,28000,1
ORD-50129,2021-06-10,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Heritage Series,213.9,9.5,152,210000,7
ORD-50129,2021-06-10,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,108.0,10.7,174,90000,6
ORD-50130,2021-06-11,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Heritage Series,143.8,12.7,46,90000,6
ORD-50131,2021-06-11,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Matte,Modern Hardware,87.3,8.4,174,25000,6
ORD-50131,2021-06-11,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Perak Saten,Modern Hardware,188.3,13.3,80,47000,3
ORD-50132,2021-06-13,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Matte,Atmobrass Jaya,328.9,12.4,67,97000,2
ORD-50132,2021-06-13,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Saten,Atmobrass Jaya,434.4,13.8,167,97000,5
ORD-50133,2021-06-13,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,140.4,5.3,79,25000,1
ORD-50133,2021-06-13,HW-003,Engsel Jahit,Engsel,Besi,Emas Matte,Atmobrass Jaya,113.3,13.9,45,32000,1
ORD-50134,2021-06-13,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Emas Berkilat,Atmobrass Jaya,80.6,5.6,70,19000,5
ORD-50135,2021-06-14,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,189.1,11.5,62,36000,3
ORD-50137,2021-06-21,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Berkilat,Atmobrass Jaya,474.3,13.2,87,34000,5
ORD-50137,2021-06-21,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,73.5,9.0,112,28000,6
ORD-50138,2021-06-21,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,193.9,12.4,62,57000,9
ORD-50138,2021-06-21,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,137.8,6.3,38,48000,3
ORD-50139,2021-06-22,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Berkilat (Chrome),Atmobrass Jaya,479.2,13.2,195,34000,5
ORD-50140,2021-06-25,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Berkilat,Maison Le Forge,361.6,9.8,51,97000,5
ORD-50140,2021-06-25,HW-003,Engsel Jahit,Engsel,Besi,Emas Matte,Heritage Series,246.9,9.2,65,32000,3
ORD-50141,2021-06-25,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,125.5,12.5,168,36000,4
ORD-50142,2021-06-28,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Matte,Atmobrass Jaya,81.5,8.6,106,28000,1
ORD-50142,2021-06-28,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Emas Matte,Atmobrass Jaya,106.3,4.0,109,19000,5
ORD-50142,2021-06-28,HW-003,Engsel Jahit,Engsel,Besi,Coklat Gelap,Atmobrass Jaya,136.5,8.5,198,32000,7
ORD-50144,2021-07-01,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Atmobrass Jaya,44.2,8.7,19,19000,2
ORD-50145,2021-07-01,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,290.8,14.1,12,57000,6
ORD-50145,2021-07-01,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,135.7,4.9,100,28000,10
ORD-50145,2021-07-01,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Coklat Gelap,Modern Hardware,348.2,10.0,27,34000,10
ORD-50146,2021-07-01,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Berkilat (Chrome),Modern Hardware,395.8,8.7,159,97000,3
ORD-50147,2021-07-02,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Hitam Matte,Atmobrass Jaya,316.8,11.3,89,34000,8
ORD-50148,2021-07-04,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Matte,Atmobrass Jaya,461.7,9.8,139,34000,7
ORD-50149,2021-07-05,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Hitam Matte,Heritage Series,297.6,10.1,101,34000,2
ORD-50150,2021-07-05,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,117.2,7.5,85,57000,10
ORD-50150,2021-07-05,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,24.6,4.2,55,28000,2
ORD-50154,2021-07-10,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,248.6,9.1,49,36000,7
